iter	Passed	Remaining
814	5152	1169
815	5160	1163
816	5169	1157
817	5177	1151
818	5188	1146
819	5194	1140
820	5200	1133
821	5205	1127
822	5210	1120
823	5215	1114
824	5220	1107
825	5225	1100
826	5230	1094
827	5235	1087
828	5241	1081
829	5246	1074
830	5251	1067
831	5256	1061
832	5262	1055
833	5268	1048
834	5275	1042
835	5281	1036
836	5289	1030
837	5297	1024
838	5302	1017
839	5308	1011
840	5314	1004
841	5320	998
842	5327	992
843	5333	985
844	5340	979
845	5345	973
846	5351	966
847	5360	960
848	5369	955
849	5380	949
850	5387	943
851	5393	936
852	5398	930
853	5406	924
854	5412	917
855	5418	911
856	5425	905
857	5431	898
858	5437	892
859	5444	886
860	5451	880
861	5466	875
862	5479	869
863	5490	864
864	5499	858
865	5515	853
866	5532	848
867	5546	843
868	5559	838
869	5571	832
870	5584	827
871	5595	821
872	5607	815
873	5617	809
874	5633	804
875	5642	798
876	5655	793
877	5669	787
878	5678	781
879	5692	776
880	5702	770
881	5713	764
882	5719	757
883	5725	751
884	5731	744
885	5736	738
886	5743	731
887	5748	725
888	5753	718
889	5759	711
890	5764	705
891	5769	698
892	5774	691
893	5779	685
894	5784	678
895	5790	672
896	5795	665
897	5800	658
898	5805	652
899	5810	645
900	5815	639
901	5821	632
902	5826	625
903	5831	619
904	5837	612
905	5843	606
906	5848	599
907	5854	593
908	5859	586
909	5864	580
910	5872	573
911	5879	567
912	5888	561
913	5899	555
914	5907	548
915	5913	542
916	5918	535
917	5924	529
918	5930	522
919	5938	516
920	5944	509
921	5956	503
922	5965	497
923	5974	491
924	5986	485
925	5995	479
926	6005	472
927	6014	466
928	6025	460
929	6038	454
930	6050	448
931	6062	442
932	6075	436
933	6086	430
934	6095	423
935	6109	417
936	6120	411
937	6131	405
938	6144	399
939	6153	392
940	6167	386
941	6180	380
942	6191	374
943	6201	367
944	6214	361
945	6227	355
946	6235	349
947	6247	342
948	6260	336
949	6273	330
950	6282	323
951	6293	317
952	6302	310
953	6313	304
954	6328	298
955	6342	291
956	6352	285
957	6364	279
958	6374	272
959	6385	266
960	6395	259
961	6408	253
962	6417	246
963	6430	240
964	6447	233
965	6455	227
966	6464	220
967	6474	214
968	6480	207
969	6487	200
970	6496	194
971	6502	187
972	6513	180
973	6519	174
974	6526	167
975	6533	160
976	6538	153
977	6544	147
978	6549	140
979	6555	133
980	6561	127
981	6567	120
982	6572	113
983	6577	106
984	6583	100
985	6588	93
986	6594	86
987	6599	80
988	6605	73
989	6610	66
990	6616	60
991	6622	53
992	6627	46
993	6633	40
994	6638	33
995	6644	26
996	6651	20
997	6657	13
998	6663	6
999	6670	0
